>  Running time: 2022-04-27_17:52:25
>  A(9.99 39.94) B(14.55 39.93) 0
15.4563783037 40.7708490538 509 630.55517284
15.4639639453 40.7777684684 510 737.475738955
15.4715511672 40.7846873863 511 1145.82276888
15.4791399701 40.7916058071 512 1070.50174832
15.4867303546 40.7985237307 513 1193.98492012
15.4943223212 40.8054411567 514 1129.66592984
15.5019158706 40.8123580851 515 1060.09653315
15.5095110034 40.8192745155 516 1024.57807701
15.5171077202 40.8261904478 517 926.97205966
15.5247060215 40.8331058817 518 796.204511414
15.532305908 40.840020817 519 687.843322395
15.5399073803 40.8469352534 520 649.042701172
15.5475104391 40.8538491908 521 588.120176901
15.5551150848 40.8607626289 522 726.138754988
15.5627213181 40.8676755675 523 608.724824778
15.5703291396 40.8745880063 524 416.048198052
15.5779385499 40.8814999452 525 465.561577353
15.5855495496 40.8884113839 526 550.5556867
15.5931621394 40.8953223221 527 689.216506321
15.6007763197 40.9022327598 528 707.84985969
15.6083920913 40.9091426965 529 757.545839146
15.6160094547 40.9160521322 530 814.688808062
15.6236284106 40.9229610665 531 878.450189588
15.6312489595 40.9298694993 532 972.616592313
15.638871102 40.9367774303 533 965.646117477
15.6464948388 40.9436848592 534 916.399797808
15.6541201705 40.950591786 535 862.237631301
15.6617470976 40.9574982103 536 677.92715207
15.6693756208 40.9644041319 537 545.107011046
15.6770057407 40.9713095506 538 459.080759873
15.6846374578 40.9782144661 539 344.519880464
15.6922707728 40.9851188783 540 457.632707379
15.6999056864 40.9920227869 541 374.788089374
15.707542199 40.9989261916 542 346.391329257
15.7151803114 41.0058290923 543 342.68735666
15.7228200241 41.0127314887 544 265.544157836
15.7304613377 41.0196333806 545 212.899299893
15.7381042528 41.0265347678 546 184.388742827
15.7457487701 41.0334356499 547 189.465318846
15.7533948901 41.0403360269 548 222.818509848
15.7610426135 41.0472358985 549 249.684557712
15.7686919409 41.0541352644 550 232.585354734
15.7763428729 41.0610341244 551 214.183555622
15.78399541 41.0679324783 552 179.830928144
15.7916495529 41.0748303258 553 169.38049935
15.7993053023 41.0817276668 554 160.456014603
15.8069626586 41.088624501 555 149.479103611
15.8146216226 41.0955208281 556 142.564214468
15.8222821949 41.102416648 557 131.40501096
15.8299443759 41.1093119604 558 122.857435084
15.8376081665 41.1162067651 559 118.315128233
15.845273567 41.1231010618 560 112.421482266
15.8529405783 41.1299948503 561 105.446446135
15.8606092009 41.1368881304 562 104.84360338
15.8682794353 41.1437809019 563 100.049924644
15.8759512823 41.1506731645 564 101.19296466
15.8836247424 41.157564918 565 97.5189320212
15.8912998162 41.1644561622 566 102.215509103
15.8989765044 41.1713468968 567 185.786983258
15.9066548076 41.1782371216 568 168.529831262
15.9143347263 41.1851268364 569 141.197433101
15.9220162612 41.1920160409 570 104.516892259
15.9296994128 41.1989047349 571 108.971954396
15.9373841819 41.2057929182 572 125.732332288
15.9450705691 41.2126805906 573 116.933906257
15.9527585748 41.2195677518 574 97.7534039391
15.9604481998 41.2264544015 575 83.5533296515
15.9681394447 41.2333405397 576 91.8663184361
15.97583231 41.2402261659 577 102.119687097
15.9835267965 41.24711128 578 127.835211134
15.9912229046 41.2539958818 579 113.588720586
15.998920635 41.260879971 580 87.5515229195
16.0066199884 41.2677635474 581 106.26806286
16.0143209654 41.2746466107 582 102.024468034
16.0220235664 41.2815291608 583 88.0925482125
16.0297277923 41.2884111974 584 63.8545277292
16.0374336436 41.2952927202 585 67.2048512624
16.0451411209 41.3021737291 586 66.1615044987
16.0528502247 41.3090542238 587 45.8137243072
16.0605609559 41.315934204 588 37.7225292788
