>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
21.0485280273 43.4980118066 464 569.431068138
21.0609247515 43.4979048679 465 472.408213511
21.0733214315 43.49779659 466 421.425711214
21.0857180668 43.4976869728 467 395.61247639
21.0981146568 43.4975760164 468 383.06650675
21.110511201 43.4974637208 469 404.446135265
21.1229076988 43.4973500859 470 350.055995172
21.1353041497 43.4972351119 471 326.587388927
21.1477005531 43.4971187987 472 281.311282261
21.1600969084 43.4970011463 473 229.030782962
21.1724932152 43.4968821547 474 221.997943749
21.1848894728 43.4967618239 475 287.856662222
21.1972856808 43.496640154 476 340.937700312
21.2096818385 43.496517145 477 276.581965622
21.2220779454 43.4963927968 478 229.210645871
21.2344740011 43.4962671096 479 278.244037633
21.2468700048 43.4961400832 480 221.792020056
21.2592659561 43.4960117177 481 280.598340852
21.2716618545 43.4958820132 482 249.189592788
21.2840576993 43.4957509696 483 213.72305936
21.29645349 43.4956185869 484 188.027514661
21.3088492261 43.4954848652 485 210.387150389
21.3212449071 43.4953498045 486 225.755980119
21.3336405323 43.4952134047 487 280.456655995
21.3460361012 43.4950756659 488 222.053430644
21.3584316133 43.4949365882 489 301.546600657
21.3708270681 43.4947961714 490 289.409125392
21.3832224649 43.4946544157 491 277.479024475
21.3956178033 43.494511321 492 342.561540447
21.4080130826 43.4943668874 493 308.608879168
21.4204083024 43.4942211149 494 306.327739655
21.4328034621 43.4940740034 495 318.310479444
21.4451985611 43.493925553 496 347.923733073
21.4575935989 43.4937757638 497 301.388934461
21.4699885749 43.4936246357 498 324.195835681
21.4823834886 43.4934721687 499 288.035670115
21.4947783394 43.4933183628 500 256.20518122
21.5071731269 43.4931632181 501 278.834520049
21.5195678504 43.4930067347 502 307.8635884
21.5319625093 43.4928489123 503 308.20214772
21.5443571033 43.4926897513 504 282.562178368
21.5567516316 43.4925292514 505 350.356614864
21.5691460937 43.4923674128 506 314.076121538
21.5815404892 43.4922042354 507 254.09396534
21.5939348174 43.4920397193 508 215.650204395
21.6063290778 43.4918738644 509 256.817433955
21.6187232699 43.4917066709 510 326.790105417
21.631117393 43.4915381387 511 260.314465921
21.6435114467 43.4913682678 512 286.144944261
21.6559054305 43.4911970582 513 282.656052613
21.6682993436 43.49102451 514 202.291001718
21.6806931857 43.4908506232 515 237.856590043
21.6930869562 43.4906753978 516 173.753380583
21.7054806544 43.4904988338 517 168.361845681
21.7178742799 43.4903209312 518 165.283837874
21.7302678322 43.49014169 519 165.803412003
21.74 43.49 519.785 166.54112
>  A(21.74 43.49) B(22.89 43.98) 519
21.74 43.49 519 166.54112
21.7506346255 43.4946212002 520 165.69561357
21.7612708786 43.4992414148 521 204.932918237
21.7719087594 43.5038606432 522 279.037448988
21.7825482681 43.5084788854 523 277.849531119
21.7931894049 43.5130961408 524 262.289397513
